,followers_count,in_reply_to_screen_name,created_at,text,likes,location,author,_id,retweet_count,type
4748,2,N/A,2020-03-01 05:30:28,"b'After the brouhaha noice round the world concerning the Ngarbuh genocide, LRC has continued the killings and the so\xe2\x80\xa6 https://t.co/ohzrQHxZOm'",1,,ndehlaw1,1233987950230241281,0,Tweet
4749,2440,N/A,2020-03-01 05:28:57,b'RT @ShipBroker15: Five women shot dead today the 1st of March 2020 in Southern Cameroons by French Cameroun Militaries. This make a total o\xe2\x80\xa6',0,#Amerikkka ,RobertR41182121,1233987569425084416,42,Retweet
4750,2440,N/A,2020-03-01 05:28:48,"b'RT @Gerrymubang: #Eyewitness_Ngarbuh_Killed\xf0\x9f\x87\xa8\xf0\x9f\x87\xb2\nReliably info, Mallam Danjuma alias (DJ) who granted interview to the UN and Human Rights Wat\xe2\x80\xa6'",0,#Amerikkka ,RobertR41182121,1233987532087447554,58,Retweet
4751,32,N/A,2020-03-01 05:27:26,"b'RT @sabastianyuven: Mallam Danjuma alias DG, who granted an interview to the UN humanitarian persons about the Ngarbuh massacre in #Souther\xe2\x80\xa6'",0,Ambazonia,HenryMoKari1,1233987187399647232,36,Retweet
4752,124,N/A,2020-03-01 05:25:23,"b'RT @apeterbruce: After #Ngarbuh on @VDAY, its now #Babanki on #LeapYearDay.\nWhen shall the @USgov evoke the Elie Wiesel Genocide and Atroci\xe2\x80\xa6'",0,"Johannesburg, South Africa",Gloleadn,1233986669919002631,61,Retweet
4753,2069,N/A,2020-03-01 05:17:27,"b'RT @sndwky: Cameroon: Witness found dead - Mallam Danjuma, one of the main persons who informed the UN and Human Rights Watch on the Ngarbu\xe2\x80\xa6'",0,Guanduanis,GUHURA,1233984676781490176,3,Retweet
4754,130,N/A,2020-03-01 05:15:33,"b'RT @sabastianyuven: Mallam Danjuma alias DG, who granted an interview to the UN humanitarian persons about the Ngarbuh massacre in #Souther\xe2\x80\xa6'",0,,ngoketunjiaAmba,1233984197108346881,36,Retweet
4755,0,N/A,2020-03-01 05:12:19,b'After the Ngarbuh incident Cameron military if Paul Biya has once again massacre more than 10 civilians in Babanki\xe2\x80\xa6 https://t.co/qaflwtgodd',0,,mbun_d,1233983384940093440,0,Tweet
4756,3223,N/A,2020-03-01 05:12:00,"b'Cameroon: Witness found dead - Mallam Danjuma, one of the main persons who informed the UN and Human Rights Watch o\xe2\x80\xa6 https://t.co/b5rlM8Kg0P'",0,"Gaborone, Botswana",sndwky,1233983305118175232,3,Tweet
4757,46,N/A,2020-03-01 05:11:31,"b""RT @CMRNewsAgency: Gov't orders the execution of Danjuma, one of the main persons who informed the @UN and @HRW  on the Ngarbuh massacre by\xe2\x80\xa6""",0,,shey_franklin,1233983179993817088,201,Retweet
